DIM_key,DIM,BAL_key,BAL,LIN_key,LIN,NOISE_key,NOISE,NUM_SAMPLES,SEED_run,Run,AUC_LR,AUC_SVM,AUC_RF,AUC_XGB
Baixa,5,Sem,0.5,Nao,False,Sim,0.3,2000,138,16,0.787733960564508,0.7861450305274748,0.7901286157541787,0.7883119807827044
Baixa,5,Sem,0.5,Nao,False,Sim,0.3,2000,139,17,0.7071370364259106,0.8060430328258207,0.8083105350133752,0.7983579174479363
Baixa,5,Sem,0.5,Nao,False,Sim,0.3,2000,140,18,0.7715401947036243,0.8186300092088177,0.807697701329734,0.8064722724679261
Baixa,5,Sem,0.5,Nao,False,Sim,0.3,2000,141,19,0.717010677766944,0.8007120495512388,0.8087571515537888,0.7959744102977575
Baixa,5,Sem,0.5,Nao,False,Sim,0.3,2000,142,20,0.7655565784144603,0.8465601331908298,0.8484750663141579,0.8410699971249281
Baixa,5,Sem,0.5,Nao,False,Sim,0.3,2000,143,21,0.7614039338061679,0.8022244269189851,0.8155261029364841,0.8006716209936131
Baixa,5,Sem,0.5,Nao,False,Sim,0.3,2000,144,22,0.8326582658265826,0.8374862486248624,0.8326207620762076,0.8242599259925992
Baixa,5,Sem,0.5,Nao,False,Sim,0.3,2000,145,23,0.7570011966582141,0.783322895930628,0.7843724008499956,0.7765265624217792
Baixa,5,Sem,0.5,Nao,False,Sim,0.3,2000,146,24,0.847301710751684,0.8470711042064186,0.8487738309694486,0.8496923750449825
Baixa,5,Sem,0.5,Nao,False,Sim,0.3,2000,147,25,0.7974258231211266,0.8209995288155522,0.8117786043176242,0.80595416181526
Baixa,5,Sem,0.5,Nao,False,Sim,0.3,2000,148,26,0.7812913048885961,0.8366196229514632,0.8331148292374957,0.8364648358632213
Baixa,5,Sem,0.5,Nao,False,Sim,0.3,2000,149,27,0.7905583402980343,0.8308351064032913,0.8245861141214018,0.8248640107440515
Baixa,5,Sem,0.5,Nao,False,Sim,0.3,2000,150,28,0.8226063852846324,0.8285915117877947,0.8285316170404261,0.8176514547863697
Baixa,5,Sem,0.5,Nao,False,Sim,0.3,2000,151,29,0.8172817281728172,0.8382338233823383,0.8508825882588258,0.8334733473347334
Baixa,5,Sem,0.5,Nao,False,Sim,0.3,2000,152,30,0.8625392069801745,0.8581241748543713,0.8628267446061152,0.8583392412310307
Baixa,5,Sem,0.5,Nao,False,Nao,0.0,2000,123,1,0.9125449999999999,0.9789275,0.990115,0.989785
Baixa,5,Sem,0.5,Nao,False,Nao,0.0,2000,124,2,0.96828,0.9909999999999999,0.9925525000000001,0.9934649999999999
Baixa,5,Sem,0.5,Nao,False,Nao,0.0,2000,125,3,0.8487499999999999,0.9585125,0.9617799999999999,0.96458
Baixa,5,Sem,0.5,Nao,False,Nao,0.0,2000,126,4,0.8058299999999999,0.905805,0.9460424999999999,0.9367050000000001
Baixa,5,Sem,0.5,Nao,False,Nao,0.0,2000,127,5,0.9782249999999999,0.98408,0.9844074999999999,0.9836449999999999
Baixa,5,Sem,0.5,Nao,False,Nao,0.0,2000,128,6,0.8684499999999999,0.9332249999999999,0.931705,0.930705
Baixa,5,Sem,0.5,Nao,False,Nao,0.0,2000,129,7,0.93995,0.9711799999999998,0.975365,0.974925
Baixa,5,Sem,0.5,Nao,False,Nao,0.0,2000,130,8,0.925615,0.9621850000000001,0.9674324999999999,0.9665649999999999
Baixa,5,Sem,0.5,Nao,False,Nao,0.0,2000,131,9,0.9971399999999999,0.99849,0.9972799999999999,0.997325
Baixa,5,Sem,0.5,Nao,False,Nao,0.0,2000,132,10,0.94047,0.97665,0.984955,0.9858100000000001
Baixa,5,Sem,0.5,Nao,False,Nao,0.0,2000,133,11,0.9803650000000002,0.9794699999999998,0.9814550000000001,0.9822050000000001
Baixa,5,Sem,0.5,Nao,False,Nao,0.0,2000,134,12,0.87019,0.9815075,0.9853774999999999,0.9835699999999999
Baixa,5,Sem,0.5,Nao,False,Nao,0.0,2000,135,13,0.891855,0.9587775000000001,0.9687275,0.963815
Baixa,5,Sem,0.5,Nao,False,Nao,0.0,2000,136,14,0.9149700000000001,0.9460575,0.965625,0.9629175
Baixa,5,Sem,0.5,Nao,False,Nao,0.0,2000,137,15,0.89254,0.9651099999999999,0.985805,0.98414
Baixa,5,Sem,0.5,Nao,False,Nao,0.0,2000,138,16,0.91486,0.92777,0.933155,0.931705
Baixa,5,Sem,0.5,Nao,False,Nao,0.0,2000,139,17,0.8082900000000001,0.9577600000000001,0.9849175000000001,0.9838850000000001
Baixa,5,Sem,0.5,Nao,False,Nao,0.0,2000,140,18,0.88552,0.9676674999999999,0.9691500000000002,0.9687949999999999
Baixa,5,Sem,0.5,Nao,False,Nao,0.0,2000,141,19,0.8073349999999999,0.9508300000000001,0.9706800000000001,0.9733749999999999
Baixa,5,Sem,0.5,Nao,False,Nao,0.0,2000,142,20,0.8779,0.99103,0.9936925000000001,0.99215
Baixa,5,Sem,0.5,Nao,False,Nao,0.0,2000,143,21,0.8644550000000001,0.9352275000000001,0.9684950000000001,0.96181
Baixa,5,Sem,0.5,Nao,False,Nao,0.0,2000,144,22,0.9851849999999999,0.995815,0.9966899999999999,0.996115
Baixa,5,Sem,0.5,Nao,False,Nao,0.0,2000,145,23,0.878065,0.9336625,0.9397924999999999,0.940635
Baixa,5,Sem,0.5,Nao,False,Nao,0.0,2000,146,24,0.991925,0.9953350000000001,0.9949125000000001,0.9957675
Baixa,5,Sem,0.5,Nao,False,Nao,0.0,2000,147,25,0.9341099999999999,0.9664575,0.97316,0.9724075000000001
Baixa,5,Sem,0.5,Nao,False,Nao,0.0,2000,148,26,0.9017649999999999,0.98995,0.9927150000000001,0.99346
Baixa,5,Sem,0.5,Nao,False,Nao,0.0,2000,149,27,0.9098,0.96142,0.9744400000000001,0.976215
Baixa,5,Sem,0.5,Nao,False,Nao,0.0,2000,150,28,0.984545,0.9973050000000001,0.9982075,0.9983000000000001
Baixa,5,Sem,0.5,Nao,False,Nao,0.0,2000,151,29,0.9406149999999999,0.973325,0.9847400000000001,0.9840899999999999
Baixa,5,Sem,0.5,Nao,False,Nao,0.0,2000,152,30,0.98568,0.993425,0.9945875000000001,0.99267
Baixa,5,Com,0.9,Sim,True,Sim,0.3,2000,123,1,0.6647353369976658,0.6652049994908247,0.6531231993338691,0.6410260189325534
Baixa,5,Com,0.9,Sim,True,Sim,0.3,2000,124,2,0.6866039470499226,0.6774854785747364,0.6883615368172211,0.6806539947160053
Baixa,5,Com,0.9,Sim,True,Sim,0.3,2000,125,3,0.6805557965829467,0.6611135983228754,0.674162366146178,0.6582522885651023
Baixa,5,Com,0.9,Sim,True,Sim,0.3,2000,126,4,0.6832357018756869,0.7062935148743043,0.709270006736872,0.6934002824758595
Baixa,5,Com,0.9,Sim,True,Sim,0.3,2000,127,5,0.6637762785359046,0.6551014111268365,0.6472029197597176,0.6369208869149794
Baixa,5,Com,0.9,Sim,True,Sim,0.3,2000,128,6,0.6851358634851153,0.6888980196482329,0.6798093532371302,0.6693391520043294
Baixa,5,Com,0.9,Sim,True,Sim,0.3,2000,129,7,0.6730861390524708,0.7136985653887289,0.7044443018504989,0.692167172660799
Baixa,5,Com,0.9,Sim,True,Sim,0.3,2000,130,8,0.6807515554888723,0.638585105724579,0.6379348897402769,0.6312406090292507
Baixa,5,Com,0.9,Sim,True,Sim,0.3,2000,131,9,0.6930953451241847,0.6820867228514949,0.6574426910783557,0.65802921636016
Baixa,5,Com,0.9,Sim,True,Sim,0.3,2000,132,10,0.6691354456447127,0.6804942375085805,0.689573322735648,0.6819429892698435
Baixa,5,Com,0.9,Sim,True,Sim,0.3,2000,133,11,0.6813441113854903,0.6670084693559848,0.6591533047413487,0.6570069889991107
Baixa,5,Com,0.9,Sim,True,Sim,0.3,2000,134,12,0.6662463661517986,0.6770480893839095,0.6620328534902455,0.6651465798045603
Baixa,5,Com,0.9,Sim,True,Sim,0.3,2000,135,13,0.6889979585084968,0.694149797288423,0.6978237162430591,0.679995513282272
Baixa,5,Com,0.9,Sim,True,Sim,0.3,2000,136,14,0.6832739684252687,0.6707823948412167,0.6599795661760316,0.6471670227069394
Baixa,5,Com,0.9,Sim,True,Sim,0.3,2000,137,15,0.6849657534587068,0.6951186122573533,0.701881313557167,0.6952005344413739
Baixa,5,Com,0.9,Sim,True,Sim,0.3,2000,138,16,0.6565443597151748,0.6558495785387641,0.6352002104173476,0.6405043365129905
Baixa,5,Com,0.9,Sim,True,Sim,0.3,2000,139,17,0.6318902207859302,0.6573794705833541,0.6531077777357138,0.6371401382832639
Baixa,5,Com,0.9,Sim,True,Sim,0.3,2000,140,18,0.6221438638378719,0.6399390273101471,0.6663190988445234,0.6442160368722791
Baixa,5,Com,0.9,Sim,True,Sim,0.3,2000,141,19,0.6532949251395854,0.6339983640954514,0.6465806038621572,0.6442725559230414
